feature,importance,model
longitude,0.24658224562990586,gradient_boosting
scheduled_hour,0.24265472116910994,gradient_boosting
latitude,0.143518334783527,gradient_boosting
time_of_day_night,0.09196519432398567,gradient_boosting
passenger_count,0.056625735173245685,gradient_boosting
scheduled_dayofweek,0.056009686778701565,gradient_boosting
route_id_R01,0.028350187036244166,gradient_boosting
time_of_day_morning,0.026388868301733304,gradient_boosting
route_frequency,0.021452554191495644,gradient_boosting
day_type_weekday,0.02053233791263225,gradient_boosting
route_id_R04,0.014901950029378799,gradient_boosting
day_type_weekend,0.011412474693370513,gradient_boosting
weather_sunny,0.009957250337046851,gradient_boosting
weather_severity,0.006855613015227234,gradient_boosting
time_of_day_evening,0.006849205115021022,gradient_boosting
weather_cloudy,0.0062645296215836305,gradient_boosting
time_of_day_afternoon,0.00523771545407235,gradient_boosting
route_id_R03,0.002760118977125072,gradient_boosting
route_id_R02,0.0015015196144316978,gradient_boosting
weather_rainy,0.0001797578421617384,gradient_boosting
scheduled_hour,0.2119176539129062,random_forest
longitude,0.20118351337988183,random_forest
latitude,0.16339347403332763,random_forest
passenger_count,0.08690015840385733,random_forest
time_of_day_night,0.0805615876196043,random_forest
scheduled_dayofweek,0.07758587987498211,random_forest
route_frequency,0.02227137066046117,random_forest
route_id_R01,0.01956211495209889,random_forest
route_id_R04,0.015701559002059207,random_forest
weather_severity,0.015601079489440147,random_forest
weather_cloudy,0.014425736013732282,random_forest
day_type_weekend,0.013404974904910867,random_forest
day_type_weekday,0.013032900858155366,random_forest
weather_sunny,0.012223216077067396,random_forest
route_id_R03,0.012072443100311803,random_forest
time_of_day_evening,0.010972440314740735,random_forest
time_of_day_morning,0.010271989121676482,random_forest
time_of_day_afternoon,0.008216895007805414,random_forest
weather_rainy,0.006477614736709159,random_forest
route_id_R02,0.0042233985362718045,random_forest
