feature,mean_abs_shap
scheduled_hour,16.84648381582529
time_of_day_night,7.419941841130127
longitude,7.0901048820725086
latitude,5.030243899193892
scheduled_dayofweek,3.8116622569354845
time_of_day_evening,3.0353206983836487
passenger_count,2.8053766968310554
route_frequency,1.191248360268435
weather_cloudy,1.0664221378537617
route_id_R04,1.06580597111243
route_id_R01,0.9380280284793228
day_type_weekend,0.7437200031740383
time_of_day_afternoon,0.7387931808262824
day_type_weekday,0.6956457633105304
weather_severity,0.6639704058610492
route_id_R03,0.5057592609469539
route_id_R02,0.4853010380333034
weather_sunny,0.45744676245898963
time_of_day_morning,0.40821423805245627
weather_rainy,0.188800196017107
